date,resident_foreign_equity_net_100m_yen,resident_foreign_long_debt_net_100m_yen,resident_foreign_short_debt_net_100m_yen,resident_foreign_total_net_100m_yen,nonresident_japan_equity_net_100m_yen,nonresident_japan_long_debt_net_100m_yen,nonresident_japan_short_debt_net_100m_yen,nonresident_japan_total_net_100m_yen
2021-08-28,-426,-5469,-1098,-6993,241,14807,15221,30269
2021-09-04,-4558,10429,596,6467,4227,4329,2404,10960
2021-09-11,-1404,17629,-437,15788,1306,9516,-3038,7783
2021-09-18,2900,6790,-1367,8323,-11593,2798,5598,-3197
2021-09-25,1268,4395,-379,5283,-2285,-23865,-10620,-36771
2021-10-02,5255,11945,-109,17091,-3327,-6936,8379,-1883
2021-10-09,1192,1407,716,3315,10156,-7058,9604,12701
2021-10-16,654,12248,-224,12679,9583,6246,8283,24112
2021-10-23,1201,-6048,-705,-5552,2305,-3693,818,-571
2021-10-30,-2104,-5248,-1220,-8572,4115,-4718,-8027,-8630
2021-11-06,-2276,12803,109,10635,1463,4457,19129,25049
2021-11-13,-4924,4567,-67,-425,1651,13010,-3204,11457
2021-11-20,-5463,-136,232,-5368,-472,10708,25633,35870
2021-11-27,1051,-13378,-2202,-14529,-3091,-4514,27644,20039
2021-12-04,12148,-11778,195,564,-762,20051,-2441,16848
2021-12-11,1962,4588,-76,6475,-6087,11576,-19418,-13930
2021-12-18,2515,-15872,-2390,-15747,-8390,12544,-1044,3110
2021-12-25,1317,-3100,-407,-2189,1245,-12216,-37365,-48336
2022-01-08,-8332,6206,664,-1463,7815,-1437,31007,37386
2022-01-15,-5310,9357,1177,5224,-113,5629,-19278,-13762
2022-01-22,-867,158,-1599,-2308,96,-17200,-2296,-19400
2022-01-29,6907,-5552,-869,487,-1209,5618,-6674,-2265
2022-02-05,2647,-1073,-302,1272,-2321,2879,7610,8168
2022-02-12,1114,-18966,-1068,-18920,-295,-8942,-22581,-31818
2022-02-19,-555,180,-447,-821,-2608,9431,20041,26865
2022-02-26,1101,-3284,-2199,-4382,-4026,-2232,8273,2015
2022-03-05,2858,-3642,-452,-1237,-9133,13320,11910,16098
2022-03-12,-1946,-1642,1815,-1773,-10503,13374,-8645,-5774
2022-03-19,1235,-1097,37,175,-6318,-9641,-5381,-21341
2022-03-26,246,-7033,1769,-5018,-2507,-23963,-26043,-52513
2022-04-02,-7813,-16661,590,-23883,5433,-13366,-5786,-13719
2022-04-09,-11467,105,-281,-11643,16753,8744,13883,39379
2022-04-16,585,-731,-165,-311,4062,12254,-14720,1595
2022-04-23,2463,-11521,-475,-9533,5978,-15090,7598,-1514
2022-04-30,7265,-10835,-356,-3926,4995,-3105,-25830,-23940
2022-05-07,4048,-8224,946,-3230,788,-2129,51899,50558
2022-05-14,-574,3734,-318,2842,-3454,3745,2016,2308
2022-05-21,3301,6286,-100,9487,42,12818,-5412,7448
2022-05-28,-2739,-11377,-706,-14822,-123,-274,3307,2909
2022-06-04,7424,-8305,-299,-1180,-1230,588,15831,15189
2022-06-11,-1371,-8624,-143,-10137,2053,-11030,8891,-86
2022-06-18,97,-4885,-11,-4799,-9416,-48112,12998,-44530
2022-06-25,514,-15993,-412,-15891,-4191,6669,-16259,-13781
2022-07-02,11918,-14140,-967,-3189,-4903,3305,8286,6687
2022-07-09,6881,-14891,2545,-5465,5264,20582,35186,61033
2022-07-16,3217,-9086,-902,-6771,4750,17532,-5266,17015
2022-07-23,2303,1120,48,3471,2976,-155,9663,12485
2022-07-30,3556,378,-1067,2868,-1209,12898,-9993,1696
2022-08-06,-10413,8299,734,-1381,610,10174,18135,28919
2022-08-13,-2348,11547,-626,8573,453,2313,-5207,-2441
2022-08-20,-5063,-767,70,-5760,291,12941,10649,23881
2022-08-27,77,-3015,-2663,-5602,-5405,-4066,-30247,-39718
2022-09-03,2305,1454,933,4693,-7037,1148,2177,-3712
2022-09-10,-1609,-1357,-201,-3167,-6097,-25699,20939,-10857
2022-09-17,2019,-12060,321,-9721,-3115,5566,-2453,-2
2022-09-24,2658,-10989,1169,-7162,-11791,-28630,-8706,-49128
2022-10-01,5698,-8863,-442,-3608,-5018,-15656,-28326,-48999
2022-10-08,8812,-17102,1446,-6844,13928,-1087,17471,30313
2022-10-15,4010,4004,1283,9297,4087,-1814,487,2760
2022-10-22,66,1476,-2094,-551,-3533,-13872,17248,-157
2022-10-29,-2481,-11705,-1761,-15947,3365,-1760,-9025,-7420
2022-11-05,-16029,-5746,619,-21156,3337,738,-4057,18
2022-11-12,-382,-1204,1144,-442,5533,-673,8446,13306
2022-11-19,398,-5271,602,-4271,44,22156,36617,58817
2022-11-26,-2391,-467,-2024,-4882,4432,-451,-54955,-50974
2022-12-03,6189,5277,-2378,9087,-3489,-11046,21183,6649
2022-12-10,2040,-5975,-1290,-5225,11093,8540,53567,73201
2022-12-17,1563,-9413,-1434,-9284,-6688,-4728,-46145,-57561
2022-12-24,5171,-4586,-840,-255,-2657,-48623,-22064,-73343
2022-12-31,6629,-918,-1717,3994,1319,-6052,6239,1506
2023-01-07,8294,5695,1945,15935,-1997,-2697,10331,5637
2023-01-14,4915,12385,1435,18735,1864,-38947,28144,-8939
2023-01-21,2703,-3419,491,-225,-850,-1324,-16973,-19147
2023-01-28,-1004,-7131,81,-8053,3795,44,-12698,-8860
2023-02-04,-5434,11319,951,6836,-186,2318,9511,11644
2023-02-11,-8367,7163,-2,-1205,1051,-590,-11128,-10667
2023-02-18,-2053,26979,-469,24458,1981,2297,24652,28930
2023-02-25,-4404,2197,-1038,-3245,-4034,-2114,-139,-6287
2023-03-04,-482,-1601,-223,-2306,-5946,-8004,-1901,-15851
2023-03-11,-1697,9142,751,8196,-8356,-1461,2532,-7284
2023-03-18,1182,33380,641,35203,-10802,40960,782,30940
2023-03-25,-422,11830,-26,11382,-12968,-16766,-11522,-41256
2023-04-01,3903,-4834,-27,-957,622,9441,-26988,-16925
2023-04-08,305,-7887,732,-6850,23689,13106,39816,76611
2023-04-15,-676,5019,185,4528,18761,92,-35010,-16157
2023-04-22,1731,-10737,-1810,-10816,3430,427,6792,10649
2023-04-29,2208,2111,-1140,3179,3880,3293,-31316,-24143
2023-05-06,-4556,-6789,1679,-9666,3731,-2164,43106,44673
2023-05-13,39,11196,-508,10726,8083,10753,-13931,4905
2023-05-20,-197,9629,1388,10820,8674,11059,10892,30625
2023-05-27,-6569,10579,-62,3948,3793,-6059,-8637,-10903
2023-06-03,1375,5213,1162,7750,6087,-5391,18365,19060
2023-06-10,-728,178,560,11,13230,1933,4713,19877
2023-06-17,1229,10524,-1393,10360,5352,-6329,-3223,-4199
2023-06-24,698,1623,-1365,956,-5424,-5621,-20009,-31053
2023-07-01,-1589,12527,-209,10728,1950,4847,1362,8159
2023-07-08,-9494,-9560,1519,-17535,1817,7050,21738,30604
2023-07-15,-6734,-761,-212,-7706,2385,-4160,-47093,-48868
2023-07-22,-4177,-9639,-834,-14650,1011,-12039,15126,4098
2023-07-29,-122,2117,895,2890,1957,-1661,-6222,-5926
2023-08-05,-3647,11209,1270,8831,-596,-19641,8186,-12050
2023-08-12,-538,-3345,-1183,-5066,2260,-8711,-19596,-26047
2023-08-19,1777,-2752,-1731,-2706,-7408,11290,3315,7197
2023-08-26,-2185,4253,-241,1827,-6032,-5341,-30555,-41927
2023-09-02,7495,907,2104,10507,5321,9266,-16836,-2248
2023-09-09,968,36324,1290,38581,-8518,837,34019,26338
2023-09-16,626,8809,-946,8489,-15784,4352,-24158,-35590
2023-09-23,-231,-5416,25,-5622,-30255,-20206,-5697,-56159
2023-09-30,7210,2971,-390,9791,710,258,-10514,-9546
2023-10-07,471,1854,209,2535,14375,-6437,5485,13424
2023-10-14,1786,8081,-461,9406,12639,9478,-9174,12944
2023-10-21,486,-1462,1146,170,2147,-9052,-9647,-16552
2023-10-28,3063,2408,-2795,2676,105,-16727,22962,6339
2023-11-04,1483,-3901,631,-1787,3129,5140,4365,12634
2023-11-11,-709,-671,-408,-1787,3849,-2961,-13798,-12910
2023-11-18,1207,41,2441,3688,2860,4220,20548,27628
2023-11-25,-2098,-843,-198,-3139,45,8492,-25698,-17161
2023-12-02,-5583,463,191,-4929,-3572,-7175,38303,27555
2023-12-09,-5007,-10795,1698,-14104,-9920,6282,16362,12724
2023-12-16,-4377,22893,-1479,17038,2731,9715,-10464,1982
2023-12-23,-1436,-1648,1336,-1747,-1205,-22260,-5203,-28668
2023-12-30,403,-2048,469,-1177,-3373,4607,-29722,-28488
2024-01-13,7833,16968,1316,26117,12020,9803,-2987,18835
2024-01-20,1302,-435,-2021,-1155,2870,3599,12798,19267
2024-01-27,-913,3855,746,3687,7210,-2180,-23371,-18341
2024-02-03,-1945,4592,3515,6161,3082,3977,19406,26465
2024-02-10,196,14942,2774,17912,6034,1761,8883,16679
2024-02-17,3597,-5649,2909,857,3825,-5211,-18263,-19649
2024-02-24,2259,-2501,147,-96,-2063,-463,-6327,-8852
2024-03-02,-5152,4901,-30,-282,2837,5678,27522,36037
2024-03-09,-6514,15872,66,9423,3743,11561,22279,37584
2024-03-16,-5222,-8189,2763,-10648,-14619,21616,-11649,-4652
2024-03-23,821,7646,-1541,6926,-8896,-38925,4945,-42876
2024-03-30,-2336,-16605,-251,-19193,-4416,8422,-27824,-23818
2024-04-06,-2893,3479,-31,555,17648,-3489,43895,58054
2024-04-13,539,-10002,52,-9410,17306,513,-37862,-20043
2024-04-20,-413,6641,-32,6196,-4938,-14420,-2718,-22077
2024-04-27,5443,-7276,782,-1051,1532,-5178,-56516,-60162
2024-05-04,2959,-10174,-341,-7556,2687,-10712,37796,29770
2024-05-11,-3909,-3908,225,-7591,6648,16984,-24280,-649
2024-05-18,5286,21896,303,27486,2483,4240,12537,19259
2024-05-25,-4333,-3104,-1525,-8961,824,-7890,-16816,-23882
2024-06-01,-5887,13234,-1305,6042,2820,3374,4820,11014
2024-06-08,-5263,-26869,84,-32048,-3462,4044,14155,14737
2024-06-15,-1086,6566,-888,4592,816,-2428,-11392,-13005
2024-06-22,1192,-10620,-4272,-13699,-854,-16061,-25597,-42511
2024-06-29,-4888,-2542,-673,-8103,1850,-1249,-11526,-10925
2024-07-06,-5689,2164,966,-2558,6035,-2343,-8769,-5077
2024-07-13,-1363,-2060,-1236,-4659,2278,7745,-14626,-4603
2024-07-20,121,-7307,507,-6679,-569,-3527,-4574,-8669
2024-07-27,2287,-6947,145,-4514,-6129,12115,-26356,-20370
2024-08-03,12881,6777,71,19729,-6437,-11600,-9533,-27570
2024-08-10,-3229,15414,4606,16790,5217,14338,5674,25229
2024-08-17,3532,18509,-1439,20602,-475,15364,-13690,1200
2024-08-24,8990,15555,-1090,23456,-4426,8601,-26612,-22437
2024-08-31,3847,16405,-2755,17497,-8244,-13985,-14088,-36317
2024-09-07,4909,-2165,80,2824,-9023,4512,25500,20989
2024-09-14,-872,21034,-74,20088,-30068,13934,-659,-16793
2024-09-21,-5361,7749,538,2926,-19277,-20142,-8807,-48226
2024-09-28,161,-558,-1902,-2298,7676,2096,5592,15364
2024-10-05,2610,6682,-1389,7902,9101,13794,570,23465
2024-10-12,-1425,-3530,1458,-3496,9726,7142,-9010,7858
2024-10-19,-3848,-6161,685,-9324,5819,-4871,24607,25554
2024-10-26,-3976,-8971,1165,-11781,103,2779,-6826,-3944
2024-11-02,-11736,-44579,695,-55620,1534,-437,233,1330
2024-11-09,-9221,17246,-409,7616,5146,-2890,15003,17260
2024-11-16,1691,-9653,327,-7636,1235,11576,-15889,-3078
2024-11-23,-3167,-7791,370,-10588,-4458,-3141,-19601,-27199
2024-11-30,-5447,9224,-4668,-891,-6077,1761,5819,1503
2024-12-07,-9548,-6391,566,-15372,4829,9995,15901,30725
2024-12-14,335,7106,-85,7356,-5864,3823,-17118,-19160
2024-12-21,1815,-9180,676,-6690,-10235,-19521,-25950,-55707
2024-12-28,2269,-2286,227,211,5627,-5364,-11872,-11610
2025-01-11,5936,7579,1742,15257,2591,-5025,25839,23405
2025-01-18,4898,8282,1942,15121,-689,8752,13423,21486
2025-01-25,2172,1931,1192,5294,7527,1283,4830,13639
2025-02-01,1992,-14584,3458,-9134,-3152,7245,-3885,208
2025-02-08,-13382,17556,180,4354,-3844,-1878,5131,-591
2025-02-15,3454,2386,2510,8350,-3519,7890,-9128,-4757
2025-02-22,197,-1970,172,-1601,-10380,4360,-4774,-10795
2025-03-01,6269,15142,-1400,20011,-7083,7765,-7302,-6620
2025-03-08,11763,-3537,1417,9643,-2196,6863,10966,15633
2025-03-15,-7526,-843,1287,-7082,-18056,33953,-22573,-6677
2025-03-22,1754,-2337,378,-206,-12006,-17974,-7132,-37112
2025-03-29,5832,-59,-2090,3682,-4498,-4848,-1558,-10904
2025-04-05,17937,-25726,1144,-6646,17835,27988,21316,67139
2025-04-12,2358,-5119,2313,-448,10449,23107,20803,54359
2025-04-19,6104,2189,2692,10985,7056,9981,16327,33364
2025-04-26,1338,4384,3366,9088,2808,600,-24317,-20909
2025-05-03,25554,-5384,-925,19245,9680,-9127,964,1517
2025-05-10,2508,19287,2188,23984,4394,-1413,10088,13070
2025-05-17,-2414,28339,1868,27792,7153,-2250,-15250,-10347
2025-05-24,-5247,1004,-427,-4670,3091,-3328,-24145,-24382
2025-05-31,-11441,-1180,-680,-13301,3361,11654,4148,19163
2025-06-07,-14890,-4523,-1429,-20841,1798,2204,-310,3692
2025-06-14,-847,15729,136,15017,4733,4368,10260,19360
2025-06-21,-834,6151,-602,4715,-5241,-3692,14969,6036
2025-06-28,1906,1828,-835,2900,6513,10591,-6539,10564
2025-07-05,-5124,16591,736,12202,6115,-1678,4473,8910
2025-07-12,-7676,7647,-1141,-1171,4423,1709,-7102,-970
2025-07-19,3337,16479,-876,18940,5719,-9907,18952,14764
2025-07-26,2073,-3263,575,-615,7433,-1846,-19507,-13920
2025-08-02,-7521,-5270,-808,-13599,1939,-927,12085,13097
2025-08-09,-2256,2574,1093,1411,4955,7332,3582,15869
2025-08-16,3953,-3060,429,1321,11670,2005,-27316,-13641
2025-08-23,-3061,-1672,-355,-5088,-4962,-1058,-361,-6381
2025-08-30,4818,14199,-912,18105,-7857,3972,2647,-1238
2025-09-06,8911,2100,7565,18576,1086,-6048,10252,5290
2025-09-13,297,14819,-2566,12550,-20328,11886,-1752,-10194
2025-09-20,-1515,8167,-2379,4273,-17471,534,9928,-7009
2025-09-27,-116,-1587,-3153,-4855,-9618,-19970,-32198,-61786
2025-10-04,-14562,-9236,-185,-23984,24761,12586,8529,45877
2025-10-11,592,6013,806,7411,18832,2012,15536,36380
2025-10-18,-2905,-6635,1940,-7601,7526,-252,16264,23538
2025-10-25,-621,-3546,1242,-2924,13453,-2492,-20301,-9340
2025-11-01,-5811,-3545,-7987,-17343,6901,2806,18265,27972
2025-11-08,-4243,5663,2566,3986,-3466,1015,-8278,-10729
2025-11-15,1833,3541,789,6163,10210,9619,-3894,15935
2025-11-22,2769,5773,-3207,5335,-3515,-2469,-6697,-12682
2025-11-29,788,-7713,-215,-7140,6557,10658,8519,25734
2025-12-06,-645,4477,2969,6802,1346,-4441,9746,6650
2025-12-13,-792,3558,165,2930,2142,14065,4624,20831
2025-12-20,-2045,826,-591,-1810,-12348,-460,10766,-2042
2025-12-27,-2215,-10496,-499,-13209,3422,-5447,-44514,-46540
2026-01-10,135,917,309,1361,11416,10107,35949,57472
2026-01-17,2725,-3611,-1643,-2528,8755,14657,-16768,6645
2026-01-24,-1560,1904,847,1192,3295,3779,-5102,1973
2026-01-31,4546,7137,176,11859,4946,20811,11329,37086
2026-02-07,1629,-3596,8102,6136,5914,-4592,13099,14422
2026-02-14,-267,-4881,-5059,-10207,14280,-3931,2420,12769
2026-02-21,4052,-19008,1395,-13561,3997,18829,-8692,14135
2026-02-28,1007,-6731,-918,-6641,9739,13651,11381,34771
2026-03-07,1474,4044,-915,4602,3855,-9636,-2113,-7893
2026-03-14,9515,-9558,-2629,-2672,-17725,11946,-9526,-15305
2026-03-21,-403,-6352,3297,-3458,-25110,5118,19977,-16
2026-03-28,1406,-9455,-2244,-10293,-44481,-26461,-41578,-112521
2026-04-04,14343,-24789,-482,-10928,29518,23762,-3874,49405
2026-04-11,2556,6982,-3779,5759,39413,7069,-15387,31095
2026-04-18,3383,-88,-1702,1592,23818,-2947,18923,39794
2026-04-25,412,-8877,-2559,-11024,8117,-7863,-11055,-10801
2026-05-02,-24252,24064,357,169,3015,7292,-13161,-2855
2026-05-09,-5826,16443,-1475,9142,13935,1062,3679,18676
2026-05-16,414,7730,577,8721,9484,-10332,-7946,-8794
2026-05-23,-3678,82,-1221,-4816,10794,13502,-21333,2963
2026-05-30,-10681,-1844,120,-12405,-4915,12502,4947,12533
2026-06-06,-9532,2096,423,-7013,-7006,-10386,8479,-8913
2026-06-13,-4173,3825,-2242,-2589,-7852,-5309,-2359,-15520
2026-06-20,4267,2021,1740,8028,4513,-10573,4644,-1416
2026-06-27,1478,-2775,2798,1501,-18175,-5023,-24006,-47204
2026-07-04,8266,-2173,-1243,4850,-213,-384,46,-551
2026-07-11,1962,10929,7457,20348,7426,5015,-5747,6693
2026-07-18,-1213,-7237,-2561,-11011,-819,-1850,-3141,-5810
2026-07-25,2891,-8101,-411,-5621,9124,-15141,-28824,-34841
2026-08-01,-2764,4779,4247,6262,-3925,5589,-2929,-1266
